driverId,driverRef,number,forename,surname,dob,nationality
37,rosa,,Pedro,de la Rosa,1971-02-24,Spanish
38,doornbos,,Robert,Doornbos,1981-09-23,Dutch
39,karthikeyan,,Narain,Karthikeyan,1977-01-14,Indian
67,buemi,,Sébastien,Buemi,1988-10-31,Swiss
69,badoer,,Luca,Badoer,1971-01-25,Italian
153,alguersuari,,Jaime,Alguersuari,1990-03-23,Spanish
154,grosjean,8,Romain,Grosjean,1986-04-17,French
155,kobayashi,10,Kamui,Kobayashi,1986-09-13,Japanese
842,gasly,10,Pierre,Gasly,1996-02-07,French
807,hulkenberg,27,Nico,Hülkenberg,1987-08-19,German
808,petrov,,Vitaly,Petrov,1984-09-08,Russian
810,grassi,,Lucas,di Grassi,1984-08-11,Brazilian
811,bruno_senna,,Bruno,Senna,1983-10-15,Brazilian
812,chandhok,,Karun,Chandhok,1984-01-19,Indian
813,maldonado,13,Pastor,Maldonado,1985-03-09,Venezuelan
814,resta,,Paul,di Resta,1986-04-16,British
815,perez,11,Sergio,Pérez,1990-01-26,Mexican
816,ambrosio,,Jérôme,d'Ambrosio,1985-12-27,Belgian
817,ricciardo,3,Daniel,Ricciardo,1989-07-01,Australian
818,vergne,25,Jean-Éric,Vergne,1990-04-25,French
819,pic,,Charles,Pic,1990-02-15,French
820,chilton,4,Max,Chilton,1991-04-21,British
821,gutierrez,21,Esteban,Gutiérrez,1991-08-05,Mexican
822,bottas,77,Valtteri,Bottas,1989-08-28,Finnish
823,garde,,Giedo,van der Garde,1985-04-25,Dutch
824,jules_bianchi,17,Jules,Bianchi,1989-08-03,French
825,kevin_magnussen,20,Kevin,Magnussen,1992-10-05,Danish
826,kvyat,26,Daniil,Kvyat,1994-04-26,Russian
827,lotterer,45,André,Lotterer,1981-11-19,German
828,ericsson,9,Marcus,Ericsson,1990-09-02,Swedish
829,stevens,28,Will,Stevens,1991-06-28,British
830,max_verstappen,33,Max,Verstappen,1997-09-30,Dutch
831,nasr,12,Felipe,Nasr,1992-08-21,Brazilian
832,sainz,55,Carlos,Sainz,1994-09-01,Spanish
833,merhi,98,Roberto,Merhi,1991-03-22,Spanish
834,rossi,53,Alexander,Rossi,1991-09-25,American
835,jolyon_palmer,30,Jolyon,Palmer,1991-01-20,British
836,wehrlein,94,Pascal,Wehrlein,1994-10-18,German
837,haryanto,88,Rio,Haryanto,1993-01-22,Indonesian
838,vandoorne,2,Stoffel,Vandoorne,1992-03-26,Belgian
839,ocon,31,Esteban,Ocon,1996-09-17,French
840,stroll,18,Lance,Stroll,1998-10-29,Canadian
841,giovinazzi,99,Antonio,Giovinazzi,1993-12-14,Italian
843,brendon_hartley,28,Brendon,Hartley,1989-11-10,New Zealander
844,leclerc,16,Charles,Leclerc,1997-10-16,Monegasque
845,sirotkin,35,Sergey,Sirotkin,1995-08-27,Russian
846,norris,4,Lando,Norris,1999-11-13,British
847,russell,63,George,Russell,1998-02-15,British
848,albon,23,Alexander,Albon,1996-03-23,Thai
849,latifi,6,Nicholas,Latifi,1995-06-29,Canadian
850,pietro_fittipaldi,51,Pietro,Fittipaldi,1996-06-25,Brazilian
851,aitken,89,Jack,Aitken,1995-09-23,British
852,tsunoda,22,Yuki,Tsunoda,2000-05-11,Japanese
853,mazepin,9,Nikita,Mazepin,1999-03-02,Russian
854,mick_schumacher,47,Mick,Schumacher,1999-03-22,German
855,zhou,24,Guanyu,Zhou,1999-05-30,Chinese
856,de_vries,45,Nyck,de Vries,1995-02-06,Dutch
